"1995","Num studies:1","","","2006","Num studies:2","","","2008","Num studies:2","","","2009","Num studies:2","","","2010","Num studies:1","","","2011","Num studies:1","","","2012","Num studies:1","","","2014","Num studies:3","","","2016","Num studies:3","","","2017","Num studies:6","","","2018","Num studies:4","","","2019","Num studies:8","","","2020","Num studies:5","","","2021","Num studies:7","","","2022","Num studies:4","","","2023","Num studies:5","","","2024","Num studies:7","",""
"word","number of mentions","Avg percent of mentions per study","percent of studies in year mentioning word","word","number of mentions","Avg percent of mentions per study","percent of studies in year mentioning word","word","number of mentions","Avg percent of mentions per study","percent of studies in year mentioning word","word","number of mentions","Avg percent of mentions per study","percent of studies in year mentioning word","word","number of mentions","Avg percent of mentions per study","percent of studies in year mentioning word","word","number of mentions","Avg percent of mentions per study","percent of studies in year mentioning word","word","number of mentions","Avg percent of mentions per study","percent of studies in year mentioning word","word","number of mentions","Avg percent of mentions per study","percent of studies in year mentioning word","word","number of mentions","Avg percent of mentions per study","percent of studies in year mentioning word","word","number of mentions","Avg percent of mentions per study","percent of studies in year mentioning word","word","number of mentions","Avg percent of mentions per study","percent of studies in year mentioning word","word","number of mentions","Avg percent of mentions per study","percent of studies in year mentioning word","word","number of mentions","Avg percent of mentions per study","percent of studies in year mentioning word","word","number of mentions","Avg percent of mentions per study","percent of studies in year mentioning word","word","number of mentions","Avg percent of mentions per study","percent of studies in year mentioning word","word","number of mentions","Avg percent of mentions per study","percent of studies in year mentioning word","word","number of mentions","Avg percent of mentions per study","percent of studies in year mentioning word"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","anxiety",1,"0.03289473684210526%","12.5%","","","","","","","","","","","","","","","","","anxiety",1,"0.44642857142857145%","14.285714285714286%"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","depression",1,"0.03289473684210526%","12.5%","","","","","","","","","","","","","","","","","","","",""
